#1.2	
15744	8
XM_047164586.1	na
XM_047164587.1	na
XM_047164588.1	na
XM_047164589.1	na
XM_047164590.1	na
XM_047164591.1	na
XM_047164596.1	na
XM_047164598.1	na
XM_047164599.1	na
XM_047164600.1	na
XM_047164601.1	na
XM_047164602.1	na
XM_047164603.1	na
XM_047164604.1	na
XM_047164605.1	na
XM_047164608.1	na
XM_047164609.1	na
XM_047164610.1	na
XM_047164611.1	na
XM_047164612.1	na
XM_047164613.1	na
XM_047164614.1	na
XM_047164615.1	na
XM_047164616.1	na
XM_047164617.1	na
XM_047164619.1	na
XM_047164620.1	na
XM_047164621.1	na
XM_047164622.1	na
XM_047164624.1	na
XM_047164625.1	na
XM_047164626.1	na
XM_047164627.1	na
XM_047164628.1	na
XM_047164629.1	na
XM_047164630.1	na
XM_047164631.1	na
XM_047164632.1	na
XM_047164633.1	na
XM_047164634.1	na
XM_047164635.1	na
XM_047164637.1	na
XM_047164638.1	na
XM_047164639.1	na
XM_047164640.1	na
XM_047164641.1	na
XM_047164642.1	na
XM_047164643.1	na
XM_047164645.1	na
XM_047164646.1	na
XM_047164647.1	na
XM_047164648.1	na
XM_047164649.1	na
XM_047164650.1	na
XM_047164651.1	na
XM_047164652.1	na
XM_047164653.1	na
XM_047164654.1	na
XM_047164655.1	na
XM_047164656.1	na
XM_047164657.1	na
XM_047164658.1	na
XM_047164659.1	na
XM_047164660.1	na
XM_047164661.1	na
XM_047164662.1	na
XM_047164663.1	na
XM_047164664.1	na
XM_047164665.1	na
XM_047164677.1	na
XM_047164680.1	na
XM_047164681.1	na
XM_047164683.1	na
XM_047164684.1	na
XM_047164686.1	na
XM_047164687.1	na
XM_047164688.1	na
XM_047164689.1	na
XM_047164690.1	na
XM_047164691.1	na
XM_047164692.1	na
XM_047164693.1	na
XM_047164694.1	na
XM_047164695.1	na
XM_047164696.1	na
XM_047164697.1	na
XM_047164698.1	na
XM_047164699.1	na
XM_047164700.1	na
XM_047164701.1	na
XM_047164702.1	na
XM_047164703.1	na
XM_047164704.1	na
XM_047164705.1	na
XM_047164706.1	na
XM_047164707.1	na
XM_047164708.1	na
XM_047164709.1	na
XM_047164710.1	na
XM_047164711.1	na
XM_047164712.1	na
XM_047164713.1	na
XM_047164714.1	na
XM_047164715.1	na
XM_047164716.1	na
XM_047164720.1	na
XM_047164721.1	na
XM_047164724.1	na
XM_047164725.1	na
XM_047164726.1	na
XM_047164727.1	na
XM_047164729.1	na
XM_047164730.1	na
XM_047164731.1	na
XM_047164732.1	na
XM_047164733.1	na
XM_047164735.1	na
XM_047164736.1	na
XM_047164737.1	na
XM_047164739.1	na
XM_047164740.1	na
XM_047164741.1	na
XM_047164742.1	na
XM_047164744.1	na
XM_047164745.1	na
XM_047164746.1	na
XM_047164748.1	na
XM_047164749.1	na
XM_047164751.1	na
XM_047164754.1	na
XM_047164763.1	na
XM_047164769.1	na
XM_047164770.1	na
XM_047164771.1	na
XM_047164772.1	na
XM_047164776.1	na
XM_047164777.1	na
XM_047164778.1	na
XM_047164779.1	na
XM_047164780.1	na
XM_047164782.1	na
XM_047164784.1	na
XM_047164785.1	na
XM_047164786.1	na
XM_047164787.1	na
XM_047164788.1	na
XM_047164789.1	na
XM_047164792.1	na
XM_047164793.1	na
XM_047164801.1	na
XM_047164802.1	na
XM_047164804.1	na
XM_047164805.1	na
XM_047164808.1	na
XM_047164811.1	na
XM_047164813.1	na
XM_047164814.1	na
XM_047164815.1	na
XM_047164816.1	na
XM_047164817.1	na
XM_047164818.1	na
XM_047164819.1	na
XM_047164820.1	na
XM_047164822.1	na
XM_047164823.1	na
XM_047164824.1	na
XM_047164825.1	na
XM_047164826.1	na
XM_047164827.1	na
XM_047164828.1	na
XM_047164829.1	na
XM_047164830.1	na
XM_047164831.1	na
XM_047164832.1	na
XM_047164833.1	na
XM_047164834.1	na
XM_047164835.1	na
XM_047164836.1	na
XM_047164837.1	na
XM_047164838.1	na
XM_047164840.1	na
XM_047164844.1	na
XM_047164846.1	na
XM_047164847.1	na
XM_047164848.1	na
XM_047164849.1	na
XM_047164850.1	na
XM_047164851.1	na
XM_047164852.1	na
XM_047164853.1	na
XM_047164856.1	na
XM_047164857.1	na
XM_047164858.1	na
XM_047164859.1	na
XM_047164860.1	na
XM_047164869.1	na
XM_047164871.1	na
XM_047164877.1	na
XM_047164878.1	na
XM_047164879.1	na
XM_047164880.1	na
XM_047164881.1	na
XM_047164882.1	na
XM_047164885.1	na
XM_047164887.1	na
XM_047164888.1	na
XM_047164889.1	na
XM_047164890.1	na
XM_047164894.1	na
XM_047164901.1	na
XM_047164903.1	na
XM_047164905.1	na
XM_047164907.1	na
XM_047164908.1	na
XM_047164909.1	na
XM_047164910.1	na
XM_047164911.1	na
XM_047164912.1	na
XM_047164913.1	na
XM_047164914.1	na
XM_047164915.1	na
XM_047164916.1	na
XM_047164917.1	na
XM_047164918.1	na
XM_047164919.1	na
XM_047164920.1	na
XM_047164922.1	na
